,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,salary
42,43.0,켈리,1988-10-14,SSG Landers,2015,30.0,1.0,0.0,29.0,11.0,10.0,0.0,0.0,181.0,87.0,83.0,775.0,188.0,28.0,1.0,16.0,54.0,1.0,5.0,139.0,2.0,9.0,4.13,4.19,1.34,117.0,115.8,4.4,-0.13,2700
42,43.0,켈리,1988-10-14,SSG Landers,2015,30.0,1.0,0.0,29.0,11.0,10.0,0.0,0.0,181.0,87.0,83.0,775.0,188.0,28.0,1.0,16.0,54.0,1.0,5.0,139.0,2.0,9.0,4.13,4.19,1.34,117.0,115.8,4.4,-0.13,100000
43,44.0,유희관,1986-06-01,Doosan Bears,2015,30.0,1.0,1.0,30.0,18.0,5.0,0.0,0.0,189.2,84.0,83.0,786.0,193.0,33.0,5.0,23.0,44.0,0.0,4.0,126.0,1.0,4.0,3.94,4.62,1.25,119.0,100.2,4.4,0.64,17400
43,44.0,유희관,1986-06-01,Doosan Bears,2015,30.0,1.0,1.0,30.0,18.0,5.0,0.0,0.0,189.2,84.0,83.0,786.0,193.0,33.0,5.0,23.0,44.0,0.0,4.0,126.0,1.0,4.0,3.94,4.62,1.25,119.0,100.2,4.4,0.64,18000
44,45.0,스튜어트,1986-09-28,NC Dinos,2015,19.0,0.0,0.0,19.0,8.0,2.0,0.0,0.0,117.2,37.0,35.0,488.0,116.0,16.0,1.0,7.0,26.0,0.0,6.0,109.0,1.0,4.0,2.68,3.35,1.21,179.0,145.5,4.32,1.46,25000
45,46.0,켈리,1989-10-04,LG Twins,2020,28.0,1.0,1.0,28.0,15.0,7.0,0.0,0.0,173.1,67.0,64.0,705.0,160.0,29.0,1.0,16.0,40.0,0.0,11.0,134.0,0.0,4.0,3.32,4.09,1.15,139.3,112.7,4.26,1.64,5900
45,46.0,켈리,1989-10-04,LG Twins,2020,28.0,1.0,1.0,28.0,15.0,7.0,0.0,0.0,173.1,67.0,64.0,705.0,160.0,29.0,1.0,16.0,40.0,0.0,11.0,134.0,0.0,4.0,3.32,4.09,1.15,139.3,112.7,4.26,1.64,15000
47,48.0,소사,1985-07-28,LG Twins,2015,32.0,2.0,1.0,30.0,10.0,12.0,0.0,1.0,194.1,102.0,87.0,809.0,199.0,39.0,7.0,16.0,36.0,0.0,5.0,177.0,1.0,6.0,4.03,3.5,1.21,116.5,134.0,4.23,-1.1,17000
47,48.0,소사,1985-07-28,LG Twins,2015,32.0,2.0,1.0,30.0,10.0,12.0,0.0,1.0,194.1,102.0,87.0,809.0,199.0,39.0,7.0,16.0,36.0,0.0,5.0,177.0,1.0,6.0,4.03,3.5,1.21,116.5,134.0,4.23,-1.1,7000
47,48.0,소사,1985-07-28,LG Twins,2015,32.0,2.0,1.0,30.0,10.0,12.0,0.0,1.0,194.1,102.0,87.0,809.0,199.0,39.0,7.0,16.0,36.0,0.0,5.0,177.0,1.0,6.0,4.03,3.5,1.21,116.5,134.0,4.23,-1.1,6800
51,52.0,소사,1985-07-28,LG Twins,2017,30.0,2.0,1.0,29.0,11.0,11.0,1.0,0.0,185.1,86.0,80.0,769.0,189.0,36.0,9.0,11.0,38.0,0.0,3.0,153.0,0.0,3.0,3.88,3.52,1.23,124.7,138.2,4.17,0.5,15000
